str::splitlines,1.2.0
str::substring,0.56.0
meson::add_devenv,0.58.0,
meson::add_dist_script,0.48.0
meson::backend,0.37.0
meson::build_options,1.1.0
meson::can_run_host_binaries,0.55.0
meson::get_external_property,0.54.0
meson::global_build_root,0.58.0
meson::global_source_root,0.58.0
meson::has_external_property,0.58.0
meson::override_dependency,0.54.0
meson::override_find_program,0.46.0
meson::project_build_root,0.56.0
meson::project_license,0.45.0
meson::project_license_files,1.1.0
meson::project_source_root,0.56.0
add_project_dependencies,0.63.0
alias_target,0.52.0
both_libraries,0.46.0
disabler,0.44.0
environment,0.35.0
install_emptydir,0.60.0
install_symlink,0.61.0
is_disabler,0.52.0
is_variable,0.52.0
join_paths,0.36.0
range,0.58.0
structured_sources,0.62.0
subdir_done,0.46.0
summary, 0.53.0
unset_variable,0.60.0
warning,0.44.0
build_tgt::found,0.59.0
build_tgt::name,0.54.0
build_tgt::path,0.59.0
cfg_data::get,0.38.0
cfg_data::get_unquoted,0.44.0
cfg_data::keys,0.57.0
cfg_data::merge_from,0.42.0
compiler::check_header,0.47.0
compiler::compute_int,0.40.0
compiler::first_supported_link_argument,0.46.0
compiler::get_argument_syntax,0.49.0
compiler::get_define,0.40.0
compiler::get_linker_id,0.53.0
compiler::get_supported_arguments,0.43.0
compiler::get_supported_function_attributes,0.48.0
compiler::get_supported_link_arguments,0.46.0
compiler::has_define,1.3.0
compiler::has_function_attribute,0.48.0
compiler::has_link_argument,0.46.0
compiler::has_multi_arguments,0.37.0
compiler::preprocess,0.64.0
compiler::symbols_have_underscore_prefix,0.37.0
custom_idx::full_path,0.54.0
custom_tgt::to_list,0.54.0
dep::as_link_whole,0.56.0
dep::as_system,0.52.0
dep::get_configtool_variable,0.44.0
dep::get_pkgconfig_variable,0.36.0
dep::get_variable,0.51.0
dep::include_type,0.52.0
dep::name,0.48.0
dep::partial_dependency,0.46.0
external_program::full_path,0.55.0
external_program::version,0.62.0
feature::allowed,0.59.0
feature::disable_auto_if,0.59.0
feature::disable_if,1.1.0
feature::enable_if,1.1.0
feature::require,0.59.0
file::full_path,1.4.0
module::found,0.59.0
subproject::found,0.48.0
cuda_module::nvcc_arch_flags,0.50.0
cuda_module::nvcc_arch_readable,0.50.0
cuda_module::min_driver_version,0.50.0
fs_module::is_absolute,0.54.0
fs_module::expanduser,0.54.0
fs_module::as_posix,0.54.0
fs_module::stem,0.54.0
fs_module::relative_to,1.3.0
fs_module::copyfile,0.64.0
gnome_module::post_install,0.57.0
i18n_module::merge_file,0.37.0
i18n_module::itstool_join,0.62.0
icestorm_module::project,0.45.0
java_module::generate_native_header,0.60.0
java_module::generate_native_headers,0.62.0
java_module::native_headers,1.0.0
python3_module::find_python,0.38.0
python3_module::extension_module,0.38.0
python3_module::language_version,0.40.0
python3_module::sysconfig_path,0.40.0
python_module::find_installation,0.46.0
python_installation::path,0.50.0
python_installation::dependency,0.53.0
qt4_module::compile_resources,0.59.0
qt4_module::compile_ui,0.59.0
qt4_module::compile_moc,0.59.0
qt4_module::compile_translations,0.44.0
qt4_module::has_tools,0.54.0
qt5_module::compile_resources,0.59.0
qt5_module::compile_ui,0.59.0
qt5_module::compile_moc,0.59.0
qt5_module::compile_translations,0.44.0
qt5_module::has_tools,0.54.0
qt6_module::compile_resources,0.59.0
qt6_module::compile_ui,0.59.0
qt6_module::compile_moc,0.59.0
qt6_module::compile_translations,0.44.0
qt6_module::has_tools,0.54.0
rust_module::test,0.57.0
rust_module::bindgen,0.57.0
rust_module::proc_macro,1.3.0
simd_module::check,0.42.0
sourceset_module::source_set,0.51.0
wayland_module::find_protocol,0.62.0
wayland_module::scan_xml,0.62.0
